usecase_id,use_case_name,sector,description,recommended_drone_category,avg_drone_cost_inr,monthly_operational_cost_inr,monthly_revenue_inr,breakeven_months,roi_year1_percent,roi_year3_percent,state_adoption
UC001,Crop Spraying,Agriculture,"Precision pesticide and fertilizer spraying for large agricultural farms. Drones cover 15-20 acres per hour compared to manual 1-2 acres per hour. Reduces chemical usage by 30% through targeted application.",Small,450000,22000,85000,7.1,68,320,"Maharashtra, Punjab, Karnataka, Telangana"
UC002,Crop Health Monitoring,Agriculture,"Using multispectral cameras to detect crop stress, disease, and nutrient deficiency. Creates NDVI maps to guide precision farming decisions. Covers 200+ acres per flight.",Micro,250000,15000,45000,8.3,44,260,"UP, MP, Maharashtra"
UC003,Land Survey and Mapping,Real Estate,"High-accuracy aerial survey and mapping for construction planning, land records, and boundary verification. Produces orthomosaic maps and 3D models with centimeter-level accuracy.",Small,350000,18000,60000,8.3,44,260,"All major states"
UC004,Infrastructure Inspection,Infrastructure,"Inspection of power lines, wind turbines, cell towers, bridges, and transmission infrastructure. Reduces human risk and inspection time by 80% compared to traditional methods.",Small,500000,25000,90000,7.7,56,300,"All states"
UC005,Mining Survey,Mining,"Volumetric survey and stockpile measurement in mining operations. Provides accurate quantity estimates for billing. Monitors pit progression and environmental compliance.",Small,400000,20000,70000,8.0,50,280,"Rajasthan, Jharkhand, Odisha, Chhattisgarh"
UC006,Film and Media Production,Media,"Aerial cinematography for films, advertisements, events, and real estate showcasing. High-demand seasonal work in entertainment and wedding industries.",Micro,180000,12000,55000,4.2,186,800,"Maharashtra, Delhi, Karnataka"
UC007,Disaster Response,Government,"Aerial assessment of flood, earthquake, and cyclone affected areas. Search and rescue operations with thermal cameras. Aid delivery to inaccessible locations.",Small,600000,30000,0,Never,-60,20,"All states"
UC008,Security and Surveillance,Defence,"Perimeter surveillance for critical infrastructure, border areas, and ports. Night vision capable drones for 24/7 monitoring. Real-time video feed to command centers.",Small,800000,35000,100000,12.3,2.5,108,"Border states, Maharashtra, Gujarat"
UC009,Delivery and Logistics,Logistics,"Last-mile delivery of medical supplies, e-commerce packages, and food in remote or traffic-congested areas. Payload capacity 2-5kg, range 10-20km per trip.",Small,700000,30000,80000,14.0,-14,78,"Karnataka, Telangana, Delhi NCR"
UC010,Wedding Photography,Media,"Aerial photography and videography for weddings and events. High seasonal demand October to March. Single event revenue INR 15000-25000.",Micro,75000,5000,40000,2.1,460,1820,"All states"
