rule_id,rule_title,category,description,applicable_to,penalty_inr,penalty_description,source,effective_date
R001,Mandatory Registration on DigitalSky,Registration,"All drones except Nano category (under 250g) must be registered on the DigitalSky platform and obtain a Unique Identification Number (UIN). Registration requires submitting drone specifications, owner details, and purpose of use.",All except Nano,25000,Fine for operating unregistered drone,DGCA CAR D3X-X1,2021-03-12
R002,Remote Pilot Licence (RPL),Licensing,"Remote Pilot Licence is mandatory for operating drones above Micro category (2kg). Applicants must be 18+, pass written and practical exams, and complete training from DGCA-approved institute. Valid for 10 years.",Small/Medium/Large,50000,Fine up to INR 50000 plus potential imprisonment,DGCA CAR Section 3,2021-03-12
R003,No-Permission-No-Takeoff (NPNT),Operations,"All drones must have NPNT firmware — any flight requires digital unlock via DigitalSky. Drone automatically cannot arm without approved flight plan. Ensures enforcement of airspace restrictions.",All drones,100000,Seizure of drone plus fine,DGCA Drone Rules 2021,2021-08-25
R004,Green Zone Operations,Airspace,"Green zones are areas below 400 feet AGL that are not in restricted/prohibited airspace and not within airport approach/departure paths. Operations in green zones for Micro and Nano do not require flight plan approval.",Nano/Micro in green zones,0,No penalty for compliant operations in green zones,DGCA Drone Rules 2021,2021-08-25
R005,Yellow Zone Operations,Airspace,"Yellow zones require ATC clearance before operations. These include areas within 12 km of airport perimeters, near helipads, and designated sensitive areas. Flight plan must be submitted via DigitalSky.",All categories,100000,Heavy fine and possible criminal charges for unauthorized yellow zone flight,DGCA Drone Rules 2021,2021-08-25
R006,Red Zone — No Fly,Airspace,"Red zones are strictly prohibited areas: near international borders (25km), within 5km of Rashtrapati Bhavan, over military installations, nuclear facilities, and eco-sensitive zones. No drone operations permitted under any circumstance.",All categories,500000,Criminal prosecution and drone confiscation,DGCA Drone Rules 2021,2021-08-25
R007,Insurance Requirement,Insurance,"Third-party insurance is mandatory for all drones except Nano category. Insurance must cover damage to third parties and property during drone operations.",Micro/Small/Medium/Large,25000,Fine for operating without insurance,DGCA Drone Rules 2021,2021-08-25
R008,Type Certificate,Certification,"Type Certificate from Quality Council of India is required for all drones manufactured or imported for use in India. Certifies the drone meets safety and airworthiness standards.",All except Nano,100000,Import or commercial use without Type Certificate is punishable,DGCA Drone Rules 2021,2021-08-25
R009,Maximum Altitude Limit 400ft,Operations,"All drone operations must remain below 400 feet Above Ground Level (AGL). Higher altitude operations require special approval from DGCA and coordination with ATC.",All categories,50000,Fine and potential criminal prosecution for breach of altitude limits,DGCA CAR Section 3,2021-08-25
R010,Commercial Operating Permit,Commercial,"Any drone operation for hire or reward requires a Commercial Operating Permit in addition to RPL and registration. Must submit operational manual and demonstrate safety procedures.",Commercial operators,100000,Fine up to INR 1 lakh for unauthorized commercial operations,DGCA Drone Rules 2021,2021-08-25
R011,Night Operations,Operations,"Drone operations during night time (30 min after sunset to 30 min before sunrise) require special endorsement on RPL and additional equipment including anti-collision lights visible from 3km.",All categories for night ops,50000,Fine for unauthorized night operations,DGCA Drone Rules 2021,2021-08-25
R012,Weight Limits per Category,Classification,"Nano: up to 250g. Micro: 250g-2kg. Small: 2kg-25kg. Medium: 25kg-150kg. Large: above 150kg. Each category has different regulatory requirements for registration, licensing, and operation.",All categories,0,Classification determines applicable regulations,DGCA Drone Rules 2021,2021-08-25
R013,Import Regulations,Import,"Drone import requires approval from DGCA. An import clearance certificate must be obtained before customs release. Import of drones without approval is treated as smuggling.",All imported drones,500000,Confiscation plus criminal penalties,DGCA Import Policy,2021-08-25
R014,Data and Privacy,Privacy,"Drone operators must not capture images or data that violates individual privacy. Operations near residential areas must maintain minimum distance. Data collected must be stored securely per IT Act 2000.",All categories,50000,Penalty under IT Act and possible drone confiscation,IT Act 2000 + DGCA Rules,2021-08-25
R015,Emergency and Disaster Relief Exemption,Exemptions,"NDMA, SDMA, and authorized agencies may operate drones without standard approvals during declared emergencies and disaster relief operations. Must still ensure safety of manned aviation.",Government agencies during disasters,0,Exemption - no penalty for authorized agencies,DGCA Drone Rules 2021,2021-08-25
